Casa do Povo de Valongo do Vouga,"Rua da Casa do Povo, no 2",Águeda,Aveiro,Casa do Povo,2007,501073353
Casa do Povo de Amoreira da Gândara,Amoreira da Gândara - Anadia,Anadia,Aveiro,Casa do Povo,2004,501063765
Casa do Povo de Santa Cruz de Alvarenga,"Lugar de Trancoso, freguesia de Alvarenga",Arouca,Aveiro,Casa do Povo,2007,500948895
Casa do Povo de Arouca,Arouca,Arouca,Aveiro,Casa do Povo,2011,500988862
Casa do Povo de Oliveirinha,"Oliveirinha, Conc. de Aveiro",Aveiro,Aveiro,Casa do Povo,2003,501138889
Casa do Povo de Vacariça,"Lugar e freguesia de Vacariça, conc. deMealhada -",Mealhada,Aveiro,Casa do Povo,2003,501091882
Casa do Povo de Mamarrosa,"Mamarrosa, Oliveira do Bairro","Oliveira doBairro",Aveiro,Casa do Povo,2004,501390340
Casa do Povo de Nossa Senhora das Neves,"Rua Soares Garrido, n.o 9",Beja,Beja,Casa do Povo,2005,500957410
Casa do Povo de Penedo Gordo,"Rua  Miguel Fernandes, no. 64",Beja,Beja,Casa do Povo,2005,501133291
Casa do Povo de Baleizão,"Rua Francisco Miguel Duarte, no 22",Beja,Beja,Casa do Povo,2007,500907013
Casa do Povo de Santana de Cambas,Santana de Cambas,Mértola,Beja,Casa do Povo,2003,501071369
Casa do Povo de São Luís,São Luís - Odemira - Beja,Odemira,Beja,Casa do Povo,2000,500964599
Casa do Povo de S. Martinho das Amoreiras,"S. Martinho das Amoreiras, Conc. Odemira",Odemira,Beja,Casa do Povo,2004,501128506
Casa do Povo de Relíquias,"freguesia de Relíquias, conc. Odemira - Beja",Odemira,Beja,Casa do Povo,2003,501128492
Casa do Povo de Panóias,"Panóias, Ourique- Beja",Ourique,Beja,Casa do Povo,2003,500909830
Casa do Povo de Vale Cávado,"Rua da Igreja, n.o 29",Amares,Braga,Casa do Povo,2007,500963142
Casa do Povo de Milhazes,"Rua  do Guilhado, n.o 12",Barcelos,Braga,Casa do Povo,2003,500954640
Casa do Povo de Areias,Areias - Barcelos,Barcelos,Braga,Casa do Povo,2006,500918953
Casa do Povo de Martim,"Freguesia de martim, Concelho de Barcelos,braga",Barcelos,Braga,Casa do Povo,2008,500998272
Casa do Povo de Macieira de Rates,"Macieira de Rates, concelho de Barcelos,Braga",Barcelos,Braga,Casa do Povo,2008,501055070
Casa do Povo de Vila Seca,"Lugar de Bemposta,Freg de Vila Seca,Barcelos",Barcelos,Braga,Casa do Povo,2008,501103902
Casa do Povo de Gândara do Neiva,"Lugar de Gândara do Neiva, freg. de Aboim-Barcelos",Barcelos,Braga,Casa do Povo,2009,501055681
Casa do Povo de Viatodos,Viatodos - Barcelos,Barcelos,Braga,Casa do Povo,2012,500939870
Casa do Povo de Palmeira,Rua da Portela  no10 - 12,Braga,Braga,Casa do Povo,2007,500951420
Casa do Povo de Este,"Rua da Bela Vista, Este S. Pedro -",Braga,Braga,Casa do Povo,2008,500926336
Centro Comunirário Bento XVI,"Rua Bento XVI, n. o 396","Celorico deBasto",Braga,Casa do Povo,2006,501073051
Casa do Povo de Fermentões,"Largo da Casa do Povo - Fermentões -Guimarães",Guimarães,Braga,Casa do Povo,2002,500939470
Casa do Povo de Creixomil,Rua Alto da Bandeira,Guimarães,Braga,Casa do Povo,2002,501408355
