"AMAR - Associação Macinhatense de Assistência, Recreio e Cultura","Rua nossa Senhora da Piedade, n.o35",Águeda,Aveiro,Associação,1994,503121371
ARCA DA BOTAREU - Associação Recreativa e Cultural  de Águeda,"R. Engo.José Bastos Xavier, Bloco A-r/c-Poente",Águeda,Aveiro,Associação,1991,501890173
ARCOR - Associação Recreativa e Cultural de Óis da Ribeira,Largo do Centro Social,Águeda,Aveiro,Associação,1993,502312246
Associação Social e Cultural de Serém,Serém - Freg. Macinhata do Vouga,Águeda,Aveiro,Associação,1993,503434531
"Associação Barroense de Recreio, Cultura e Assistência - ABARCA",Lugar e Freguesia de Barrô,Águeda,Aveiro,Associação,1982,501311726
"Associação Fermentelense de Assistência a Crianças e Pessoas da TerceiraIdade",Freguseia de Fermentelos,Águeda,Aveiro,Associação,1982,501089780
Banco de Leite - Associação de Solidariedade Social,Apartado 78,Águeda,Aveiro,Associação,1996,502254440
Bela Vista Centro de Educação Integrada,"Rua São Pedro, n.o 48",Águeda,Aveiro,Associação,1986,500878706
Centro de Bem Estar Social de Macinhata do Vouga,Macinhata do Vouga,Águeda,Aveiro,"Centro SocialParoquial",1983,504164996
Centro de Apoio Social e Animação de Segadães,Freguesia de Segadães,Águeda,Aveiro,Associação,1992,502800542
Centro Paroquial e Social de Valongo do Vouga,"Rua António Pereira Vidal Xavier n.o37",Águeda,Aveiro,"Centro SocialParoquial",1984,501430890
Centro Social de Belazaima,"Rua da Estrada Velha, n.o 63",Águeda,Aveiro,Associação,1987,501120998
Centro Social de Formação e Assistência,"Rua Dr.o J. Carvalho e Silva, n.o 102",Águeda,Aveiro,"Instituto deOrganizaçãoReligiosa",1984,501122141
Centro Social Infantil de Aguada de Baixo,"Avenida José Augusto RodriguesSeabra, n.o 44",Águeda,Aveiro,Associação,1981,501729968
Centro Social Paroquial da Borralha,"Rua Chão da Moita, n.o 233",Águeda,Aveiro,"Centro SocialParoquial",1993,502811587
Centro Social Paroquial da Freguesia de Recardães,Recardães,Águeda,Aveiro,"Centro SocialParoquial",1996,503495468
J.L.V.- Associação Social e Cultural dos Jovens de Lamas do Vouga,Pedaçães - Lamas do Vouga,Águeda,Aveiro,Associação,1994,972684336
Jardim Social de Travassô - Associação de Solidariedade Social,Lugar e Freguesia de Travassô,Águeda,Aveiro,Associação,1999,505600013
Liga dos Amigos de Aguada de Cima - (LAAC),"Rua do Engenho, n.o 586",Águeda,Aveiro,Associação,1989,501660038
O Catraio - Centro Social da Catraia de Assequins,"Rua Do Alverca, n.o 49 - Assequins",Águeda,Aveiro,Associação,1995,503292370
O Moleirinho - Centro Social e Cultural de Vale Domingos,"Vale Domingos - Freguesia deÁgueda",Águeda,Aveiro,Associação,1996,503517631
"O Mágico - Centro de Apoio Social, Cultural e Recreativo","Rua do Curtinhal, n.o 325 - Giesteira",Águeda,Aveiro,Associação,1996,503353221
Os Pioneiros - Associação de Pais de Mourisca do Vouga,"Rua Campolinho, n.o 27",Águeda,Aveiro,Associação,1987,501821112
Paraíso Social de Aguada Baixo,"Rua António Soares Almeida Roque,n.o 5",Águeda,Aveiro,Associação,1993,503336718
Patronato de Nossa Senhora das Dores,"Rua Dr. Correia de Miranda, n.o 27",Águeda,Aveiro,"Instituto deOrganizaçãoReligiosa",1986,500884790
Santa Casa da Misericórdia de Águeda,Águeda,Águeda,Aveiro,Misericórdia,1983,500766789
Canteiro de S. Francisco - Instituição Particular de Solidariedade Social,"(Prov.) Village Altavila, Ala dois - 1oEsq.",Águeda,Aveiro,Associação,1999,504192710
Academia Portuguesa de Cultura e Solidariedade de Águeda - A.P.C.S.A.,"Rua Doutor Manuel Alegre, n.o 20",Águeda,Aveiro,Associação,1999,504641891
Sr.a da Esperança - Centro Social Cultural e  Recreativo de Á-dos-Ferreiros,"Rua da Feira, n.o 150",Águeda,Aveiro,Associação,1999,504918850
Fundação  Nossa Senhora da Conceição da  Freguesia de Valongo do Vouga,"Arrancada do Vouga, Freg. deValongo do Vouga",Águeda,Aveiro,Fundação,2000,506083268
Centro Social Arco-Íris,"Rua do Viso, n.o 260",Águeda,Aveiro,Associação,2002,504422251
Associação Baptista de Águeda Shalom,"Rua do Cabeço, n.o 420",Águeda,Aveiro,Associação,2002,505101734
Associação Cultural dos Surdos de Águeda,Mercado Municipal de Águeda,Águeda,Aveiro,Associação,2003,505141078
Centro Social Cultural e Recreativo de Crastovães,"Rua da Fonte, lugar de Crastovães,Freg. de Trofa",Águeda,Aveiro,Associação,2004,503167509
Centro Social de Agadão,"Rua Costa do Moinho, n.o 6",Águeda,Aveiro,Associação,2004,506604403
Associação Social Dar a Mão de Lamas do Vouga,"Rua da Costa, N.o 18",Águeda,Aveiro,Associação,2008,508263433
Associação Sócio-Cultural e Recreativa de S. Martinho,"Lugar de S. Martinho, freguesia deAgueda de Cima",Águeda,Aveiro,Associação,2008,501960724
"União Concelhia das Instituições Particulares de Solidariedade Social Águeda -UCIPSS - Águeda","Mercado Municipal, R.Padre MiguelJosé Cruz,sala 4",Águeda,Aveiro,Associação,2011,509568149
Património dos Pobres da Freguesia  de Águeda,"Avenida Arcebispo Primaz, n.o 14/16",Águeda,Aveiro,"Instituto deOrganizaçãoReligiosa",2012,502491280
Fundação Isabel  Domingues,"Lugar de Pinheiro Manso, Recardães",Águeda,Aveiro,Fundação,2014,513145710
Fundação Comendador António Soares Almeida Roque e Família,"Rua António da Silva Brinco, no Altode S. Pedro",Águeda,Aveiro,Fundação,2016,514083905
Associação de Infância D.Teresa,Albergaria - a - Velha,"Albergaria-a-Velha",Aveiro,Associação,1987,501662588
Associação de Solidariedade Social de Alquerubim,"Quinta de Alque, n.o 1 - Fontes","Albergaria-a-Velha",Aveiro,Associação,1994,503489751
Cediara - Associação de Solidariedade Social de Ribeira de Fráguas,"Rua da Alagoa, n.o 3 - Casaldelo","Albergaria-a-Velha",Aveiro,Associação,1996,503817201
Centro Social Paroquial de Albergaria-a-Velha,"Rua Engenheiro Duarte Pacheco, n.o3","Albergaria-a-Velha",Aveiro,"Centro SocialParoquial",1983,509461620
Centro Social Paroquial de Angeja,Praça da República no 3 - Angeja,"Albergaria-a-Velha",Aveiro,"Centro SocialParoquial",1990,502658762
Centro Social Paroquial de S.Vicente da Branca,Rua Padre Conde - Souto,"Albergaria-a-Velha",Aveiro,"Centro SocialParoquial",1988,502620404
Fundação Creche Helena de Albuquerque Quadros,"Rua Fernando Santos, n.o 8 - Angeja","Albergaria-a-Velha",Aveiro,Fundação,1989,502278552
Pobranca - Associação para o Desenvolvimento Sócio-Cultural da Branca,"Rua da Cultura, n.o31","Albergaria-a-Velha",Aveiro,Associação,1990,501826815
Irmandade da Misericórdia de Albergaria-a-Velha,Albergaria - a - Velha,"Albergaria-a-Velha",Aveiro,Misericórdia,1982,501598839
Associação Humanitária Mão Amiga,"Ava. Bernardino Máximo deAlbuquerque, no. 35","Albergaria-a-Velha",Aveiro,Associação,1999,504413040
Centro Social Paroquial de Santa Eulália de Vale Maior,"Rua da Fábrica, n.o 2","Albergaria-a-Velha",Aveiro,"Centro SocialParoquial",2002,506025543
"APPACDM de Albergaria-a-Velha - Associação Portuguesa de Pais e Amigosdo Cidadão Deficiente Mental","Rua da Cavada, Lugar de SouteloFreguesia Branca","Albergaria-a-Velha",Aveiro,Associação,2004,506563871
Associação de Solidariedade Social Sanjoanense - ASSS,Rua da Escola,"Albergaria-a-Velha",Aveiro,Associação,2005,506725529
Associação Social para Idosos com Vida,"Rua Vale da Cana, n.o 1-  Frossos","Albergaria-a-Velha",Aveiro,Associação,2018,513082751
Associação de Pais e Amigos das Crianças de Certoma e Levira,Freguesia de Sangalhos,Anadia,Aveiro,Associação,1988,970289529
Associação Social de Avelãs de Caminho,Rua Seabra Fonseca,Anadia,Aveiro,Associação,1992,503339350
Centro Cultural e Recreativo de Poutena,"Rua do Rossio, n.o 32",Anadia,Aveiro,Associação,1988,501601210
Centro de Apoio Social de Vila Nova de Monsarros,"Rua Campo de mú, n.o39",Anadia,Aveiro,Associação,1995,503498955
Centro Social Maria Auxiliadora de Mogofores,"Rua do Bárrio, n.o 34",Anadia,Aveiro,Associação,1987,501670467
Centro de Bem Estar Social da Freguesia de Tamengos,"Rua das Palmeiras, Freguesia deTamengos",Anadia,Aveiro,Associação,1994,506522652
Centro Social Cultural e Recreativo de Paredes do Bairro,"Paredes do Bairro - S.Lourenço doBairro",Anadia,Aveiro,Associação,1982,501202323
Centro Social e Cultural Nossa Senhora do Ó de Aguim,Rua da escola,Anadia,Aveiro,Associação,1983,501219625
Centro Social Cultural e Recreativo de Avelãs de Cima,"Rua das palmeiras, n.o 6, Lugar de S.Pedro",Anadia,Aveiro,Associação,1982,501202315
Centro Social da Anadia,"Rua das Sobreiras, n.o 94",Anadia,Aveiro,Associação,1993,501190198
Centro Social de S. José de Cluny,"Rua S. José de Cluny, n.o 23",Anadia,Aveiro,"Instituto deOrganizaçãoReligiosa",1985,500886334
Centro Social Paroquial da Moita de Anadia,"Rua Poeta Cavador,n.o 16",Anadia,Aveiro,"Centro SocialParoquial",1986,501163476
Centro Social Recreativo e Cultural de Pedralva,"Rua Central, n.o 60 - Pedralva",Anadia,Aveiro,Associação,1994,503236519
"Liga dos Amigos de Samel - Associação Cultural Recreativa e deSolidariedade Social",Freguesia de Vilarinho do Bairro,Anadia,Aveiro,Associação,1993,502807512
Santa Casa da Misericórdia de Anadia,Anadia,Anadia,Aveiro,Misericórdia,1983,501229574
Misericórdia da Freguesia de Sangalhos,Sangalhos,Anadia,Aveiro,Misericórdia,1985,501066101
"APPACDM DE ANADIA - Associação Portuguesa de Pais e Amigos doCidadão Deficiente Mental","Rua da APPACDM, n.o 380",Anadia,Aveiro,Associação,2002,504646680
"Clube de Ancas - Associação de  Solidariedade Social, Recreio, Formação eCultura","Freguesia de Ancas - Concelho deAnadia",Anadia,Aveiro,Associação,2007,501973583
Associação Amigos do Parque e Jardim Santo António,"Santo Ant_nio - Freguesia de SantaEulãlia",Arouca,Aveiro,Associação,1981,501167366
Associação para a Integração de Crianças Inadaptadas de Arouca,Vila e Concelho de Arouca,Arouca,Aveiro,Associação,1990,502096756
Associação de Melhoramentos da Freguesia de Albergaria da Serra,Albergaria da Serra,Arouca,Aveiro,Associação,1988,501843213
Patronato - Centro Paroquial e Social Santa Mafalda,"Rua Dr. Figueiredo Sobrinho, n.o 12",Arouca,Aveiro,"Centro SocialParoquial",1983,501067566
Jardim de São José,Alvarenga,Arouca,Aveiro,Fundação,1989,502107286
Santa Casa da Misericórdia de Arouca,Arouca,Arouca,Aveiro,Misericórdia,1988,501289623
Centro Social Paroquial de S. Salvador do Burgo de Arouca,"Avenida 25 de Abril, n.o 50 - 1.o Dt.o",Arouca,Aveiro,"Centro SocialParoquial",1999,504441949
Centro de Solidariedade Social e Cultural de Fermedo,Lugar de Coruto,Arouca,Aveiro,Associação,1999,504293990
Centro Social de Chave,"Casal, Chave, Arouca",Arouca,Aveiro,Associação,2001,504633384
C.S.S.C.M. - Centro Social Santa Cristina de Mansores,"Avenida da Igreja, n.o 25",Arouca,Aveiro,Associação,2005,505402467
Centro Social de Canelas - Arouca,"Lugar de Baixo, freguesia deCanelas",Arouca,Aveiro,Associação,2007,506365492
Centro Social de Rossas,"Lugar do Passo, freguesia deRôssas",Arouca,Aveiro,Associação,2007,507079760
Centro Social de Tropeço,Ferreiros Freguesia de Tropeço,Arouca,Aveiro,Associação,2007,513287302
"Associação A4 - Acolher, Aceitar, Agir, Adaptar",Lugar do Soto,Arouca,Aveiro,Associação,2019,514456930
Associação de Melhoramentos de Eixo,"Rua Avelino Dias de Figueiredo, n.o52/54",Aveiro,Aveiro,Associação,1998,501654003
Associação Social e Cultural da Terceira Idade e do Autodidacta de Aveiro,"R. Conego Maio No. 133 - Freguesiade Sao Benardo",Aveiro,Aveiro,Associação,1997,503962090
